ticker,name,kind,quote_currency,as_of
^N225,Nikkei 225,index,JPY,2026-09-24
1332.T,NISSUI CORPORATION,equity,JPY,2026-09-24
1605.T,INPEX CORPORATION,equity,JPY,2026-09-24
1721.T,COMSYS HOLDINGS CORP,equity,JPY,2026-09-24
1801.T,TAISEI CORP,equity,JPY,2026-09-24
1802.T,OBAYASHI CORP,equity,JPY,2026-09-24
1803.T,SHIMIZU CORP,equity,JPY,2026-09-24
1808.T,HASEKO CORPORATION,equity,JPY,2026-09-24
1812.T,KAJIMA CORP,equity,JPY,2026-09-24
1925.T,DAIWA HOUSE INDUSTRY CO,equity,JPY,2026-09-24
1928.T,SEKISUI HOUSE,equity,JPY,2026-09-24
1963.T,JGC HOLDINGS CORPORATION,equity,JPY,2026-09-24
2002.T,NISSHIN SEIFUN GROUP INC,equity,JPY,2026-09-24
2269.T,MEIJI HOLDINGS CO LTD,equity,JPY,2026-09-24
2282.T,NH FOODS LTD,equity,JPY,2026-09-24
2413.T,M3 INC,equity,JPY,2026-09-24
2432.T,DENA CO LTD,equity,JPY,2026-09-24
2501.T,SAPPORO BREWERIES LTD,equity,JPY,2026-09-24
2502.T,ASAHI GROUP HLDGS,equity,JPY,2026-09-24
2503.T,KIRIN HOLDINGS COMPANY LIMITED,equity,JPY,2026-09-24
2768.T,SOJITZ CORPORATION,equity,JPY,2026-09-24
2801.T,KIKKOMAN CORP,equity,JPY,2026-09-24
2802.T,AJINOMOTO CO INC,equity,JPY,2026-09-24
285A.T,KIOXIA HOLDINGS CORPORATION,equity,JPY,2026-09-24
2871.T,NICHIREI CORP,equity,JPY,2026-09-24
2914.T,JAPAN TOBACCO INC,equity,JPY,2026-09-24
3086.T,J FRONT RETAILING CO LTD,equity,JPY,2026-09-24
3092.T,ZOZO INC,equity,JPY,2026-09-24
3099.T,ISETAN MITSUKOSHI HOLDINGS LTD,equity,JPY,2026-09-24
3289.T,TOKYU FUDOSAN HOLDINGS CORPORAT,equity,JPY,2026-09-24
3382.T,SEVEN & I HOLDINGS CO LTD,equity,JPY,2026-09-24
3401.T,TEIJIN LTD,equity,JPY,2026-09-24
3402.T,TORAY INDUSTRIES INC,equity,JPY,2026-09-24
3405.T,KURARAY CO,equity,JPY,2026-09-24
3407.T,ASAHI KASEI CORP,equity,JPY,2026-09-24
3436.T,SUMCO CORPORATION,equity,JPY,2026-09-24
3659.T,NEXON CO LTD,equity,JPY,2026-09-24
3697.T,SHIFT INC,equity,JPY,2026-09-24
3861.T,OJI HOLDINGS CORP,equity,JPY,2026-09-24
4004.T,RESONAC HOLDINGS CORPORATION,equity,JPY,2026-09-24
4005.T,SUMITOMO CHEMICAL COMPANY,equity,JPY,2026-09-24
4021.T,NISSAN CHEMICAL CORPORATION,equity,JPY,2026-09-24
4042.T,TOSOH CORP,equity,JPY,2026-09-24
4043.T,TOKUYAMA CORP,equity,JPY,2026-09-24
4061.T,DENKA COMPANY LIMITED,equity,JPY,2026-09-24
4062.T,IBIDEN CO LTD,equity,JPY,2026-09-24
4063.T,SHIN-ETSU CHEMICAL CO,equity,JPY,2026-09-24
4151.T,KYOWA KIRIN CO LTD,equity,JPY,2026-09-24
4183.T,MITSUI CHEMICALS INC,equity,JPY,2026-09-24
4188.T,MITSUBISHI CHEMICAL GROUP CORP,equity,JPY,2026-09-24
4208.T,UBE CORPORATION,equity,JPY,2026-09-24
4307.T,NOMURA RESEARCH INSTITUTE,equity,JPY,2026-09-24
4324.T,DENTSU GROUP INC,equity,JPY,2026-09-24
4385.T,MERCARI INC,equity,JPY,2026-09-24
4452.T,KAO CORP,equity,JPY,2026-09-24
4502.T,TAKEDA PHARMACEUTICAL CO LTD,equity,JPY,2026-09-24
4503.T,ASTELLAS PHARMA,equity,JPY,2026-09-24
4506.T,SUMITOMO PHARMA CO LTD,equity,JPY,2026-09-24
4507.T,SHIONOGI & CO,equity,JPY,2026-09-24
4519.T,CHUGAI PHARMACEUTICAL CO,equity,JPY,2026-09-24
4523.T,EISAI CO LTD,equity,JPY,2026-09-24
4543.T,TERUMO CORP,equity,JPY,2026-09-24
4568.T,DAIICHI SANKYO COMPANY LIMITED,equity,JPY,2026-09-24
4578.T,OTSUKA HLDGS CO LTD,equity,JPY,2026-09-24
4661.T,ORIENTAL LAND CO,equity,JPY,2026-09-24
4689.T,LY CORPORATION,equity,JPY,2026-09-24
4704.T,TREND MICRO INC,equity,JPY,2026-09-24
4751.T,CYBER AGENT,equity,JPY,2026-09-24
4755.T,RAKUTEN GROUP INC,equity,JPY,2026-09-24
4901.T,FUJIFILM HOLDINGS CORPORATION,equity,JPY,2026-09-24
4902.T,KONICA MINOLTA INC,equity,JPY,2026-09-24
4911.T,SHISEIDO COMPANY LIMITED,equity,JPY,2026-09-24
5019.T,IDEMITSU KOSAN CO.LTD,equity,JPY,2026-09-24
5020.T,ENEOS HOLDINGS INC,equity,JPY,2026-09-24
5101.T,YOKOHAMA RUBBER CO,equity,JPY,2026-09-24
5108.T,BRIDGESTONE CORP,equity,JPY,2026-09-24
5201.T,AGC INC,equity,JPY,2026-09-24
5214.T,NIPPON ELECTRIC GLASS,equity,JPY,2026-09-24
5233.T,TAIHEIYO CEMENT CORP,equity,JPY,2026-09-24
